Nationality,Size,Question1,Question2,Question3,Question4,Question5,Label
ต่างชาติ,ใหญ่,จริง,ไม่จริง,จริง,จริง,จริง,โกลเด้น รีทรีฟเวอร์
ต่างชาติ,ใหญ่,ไม่จริง,ไม่จริง,ไม่จริง,จริง,ไม่จริง,โกลเด้น รีทรีฟเวอร์
ต่างชาติ,ใหญ่,จริง,จริง,จริง,จริง,จริง,โกลเด้น รีทรีฟเวอร์
ต่างชาติ,ใหญ่,จริง,ไม่จริง,จริง,จริง,ไม่จริง,โกลเด้น รีทรีฟเวอร์
ต่างชาติ,ใหญ่,จริง,ไม่จริง,จริง,จริง,จริง,โกลเด้น รีทรีฟเวอร์
ต่างชาติ,ใหญ่,จริง,ไม่จริง,จริง,จริง,จริง,โกลเด้น รีทรีฟเวอร์
ต่างชาติ,ใหญ่,จริง,ไม่จริง,จริง,จริง,ไม่จริง,โกลเด้น รีทรีฟเวอร์
ต่างชาติ,ใหญ่,จริง,ไม่จริง,จริง,จริง,จริง,โกลเด้น รีทรีฟเวอร์
ต่างชาติ,ใหญ่,จริง,จริง,จริง,จริง,ไม่จริง,โกลเด้น รีทรีฟเวอร์
ต่างชาติ,ใหญ่,จริง,ไม่จริง,จริง,จริง,ไม่จริง,โกลเด้น รีทรีฟเวอร์
ต่างชาติ,ใหญ่,จริง,ไม่จริง,จริง,จริง,ไม่จริง,โกลเด้น รีทรีฟเวอร์
ต่างชาติ,ใหญ่,จริง,ไม่จริง,ไม่จริง,จริง,จริง,โกลเด้น รีทรีฟเวอร์
ต่างชาติ,ใหญ่,จริง,ไม่จริง,จริง,จริง,จริง,โกลเด้น รีทรีฟเวอร์
ต่างชาติ,ใหญ่,จริง,ไม่จริง,ไม่จริง,จริง,ไม่จริง,โกลเด้น รีทรีฟเวอร์
ต่างชาติ,ใหญ่,จริง,ไม่จริง,จริง,จริง,ไม่จริง,โกลเด้น รีทรีฟเวอร์
ต่างชาติ,ใหญ่,จริง,จริง,ไม่จริง,ไม่จริง,ไม่จริง,โกลเด้น รีทรีฟเวอร์
